Descritpion_ID,Top_20_Image_IDs
1053.txt,1123.jpg 10.jpg 1363.jpg 1362.jpg 494.jpg 1844.jpg 987.jpg 1270.jpg 1461.jpg 1832.jpg 975.jpg 409.jpg 685.jpg 427.jpg 213.jpg 1193.jpg 1857.jpg 907.jpg 1703.jpg 1488.jpg
1735.txt,199.jpg 1219.jpg 687.jpg 1606.jpg 255.jpg 79.jpg 950.jpg 1388.jpg 17.jpg 216.jpg 1442.jpg 1451.jpg 356.jpg 1561.jpg 1480.jpg 484.jpg 995.jpg 312.jpg 594.jpg 1180.jpg
1721.txt,378.jpg 411.jpg 1794.jpg 215.jpg 154.jpg 595.jpg 1639.jpg 997.jpg 816.jpg 1021.jpg 1596.jpg 542.jpg 1199.jpg 57.jpg 851.jpg 1230.jpg 1894.jpg 1809.jpg 635.jpg 869.jpg
1047.txt,283.jpg 1946.jpg 710.jpg 551.jpg 1666.jpg 1186.jpg 873.jpg 1993.jpg 720.jpg 404.jpg 1766.jpg 1947.jpg 1583.jpg 477.jpg 664.jpg 476.jpg 803.jpg 195.jpg 1467.jpg 679.jpg
1709.txt,1903.jpg 728.jpg 1802.jpg 1889.jpg 1132.jpg 731.jpg 951.jpg 249.jpg 1677.jpg 1207.jpg 1145.jpg 1088.jpg 825.jpg 155.jpg 989.jpg 1379.jpg 471.jpg 1630.jpg 1614.jpg 97.jpg
289.txt,1683.jpg 9.jpg 1631.jpg 830.jpg 816.jpg 435.jpg 1417.jpg 548.jpg 1951.jpg 1576.jpg 1935.jpg 713.jpg 1221.jpg 299.jpg 1165.jpg 1039.jpg 484.jpg 1351.jpg 1794.jpg 1202.jpg
504.txt,1110.jpg 1643.jpg 428.jpg 726.jpg 587.jpg 76.jpg 1559.jpg 877.jpg 592.jpg 1516.jpg 562.jpg 1636.jpg 1076.jpg 1120.jpg 1941.jpg 1871.jpg 1822.jpg 850.jpg 1726.jpg 529.jpg
1090.txt,1507.jpg 149.jpg 198.jpg 1308.jpg 1839.jpg 1615.jpg 107.jpg 1192.jpg 1369.jpg 1645.jpg 527.jpg 1147.jpg 1102.jpg 5.jpg 6.jpg 738.jpg 247.jpg 818.jpg 1740.jpg 80.jpg
262.txt,1004.jpg 1611.jpg 1896.jpg 1525.jpg 1600.jpg 781.jpg 823.jpg 459.jpg 24.jpg 1644.jpg 1523.jpg 1967.jpg 844.jpg 1847.jpg 420.jpg 1389.jpg 848.jpg 521.jpg 1787.jpg 377.jpg
276.txt,18.jpg 672.jpg 507.jpg 1587.jpg 1324.jpg 1247.jpg 1878.jpg 1762.jpg 1498.jpg 1638.jpg 1670.jpg 612.jpg 383.jpg 380.jpg 1588.jpg 1129.jpg 722.jpg 138.jpg 1563.jpg 896.jpg
1084.txt,1059.jpg 1421.jpg 1471.jpg 1366.jpg 1084.jpg 1475.jpg 649.jpg 696.jpg 1665.jpg 1023.jpg 1482.jpg 60.jpg 184.jpg 186.jpg 15.jpg 1322.jpg 1437.jpg 1648.jpg 260.jpg 338.jpg
510.txt,293.jpg 312.jpg 462.jpg 1572.jpg 911.jpg 1868.jpg 1281.jpg 1564.jpg 424.jpg 1902.jpg 900.jpg 596.jpg 1647.jpg 711.jpg 1198.jpg 1942.jpg 1561.jpg 1163.jpg 1969.jpg 395.jpg
538.txt,1684.jpg 232.jpg 1914.jpg 1268.jpg 1072.jpg 209.jpg 681.jpg 1636.jpg 741.jpg 1113.jpg 959.jpg 1873.jpg 1375.jpg 108.jpg 40.jpg 1626.jpg 1554.jpg 1241.jpg 1667.jpg 313.jpg
